CustomerID,CustomerName,Email,Location,Segment
1,Richard Morton,solomonbryan@hotmail.com,West Angelafort,Home Office
2,Maria Smith,tracyalexander@hotmail.com,West Jerome,Small Business
3,Jacob Lewis,meganboone@rogers-long.net,Kimview,Consumer
4,David Garza,ruben62@dougherty.org,Marthaland,Home Office
5,Eric Hall,moralestammy@gmail.com,West Michaelstad,Home Office
6,Kevin Johnson,cthomas@villegas-roberts.com,Ashleyborough,Small Business
7,Kelly Sanchez,usmith@pratt-merritt.com,New Darrellmouth,Consumer
8,Nancy Jackson,kimberlycastillo@yahoo.com,Lake Julie,Consumer
9,Dale Rogers,simmonsethan@hotmail.com,South Richardburgh,Home Office
10,Brittany Dixon,ztran@hotmail.com,Lewiston,Corporate
11,Tammy Harmon,courtneyfisher@yahoo.com,South Jessicaberg,Home Office
12,Julie Davis,mariarivera@hoover-haley.com,Port Daniel,Home Office
13,Allison Morris,theresa75@lewis.info,Cochrantown,Home Office
14,Scott Nicholson,perkinsnichole@hotmail.com,Patrickfurt,Home Office
15,Timothy Bentley,cortezrachel@yahoo.com,South Hannah,Small Business
16,Deanna Cain,brenda93@hotmail.com,New Jordanfort,Consumer
17,David Johnson,gregory58@gonzalez.org,Jenniferton,Small Business
18,Robert Miller,ashley77@gmail.com,Port Scottport,Small Business
19,Christian Brewer,kaylaford@hotmail.com,Rachelhaven,Small Business
20,Monica Mccall,olewis@brandt-hess.org,Port Monica,Home Office
21,Catherine Nash,kharris@wilson-pratt.net,Timothyville,Corporate
22,Lisa Choi,christina21@russell.biz,North Michaelshire,Consumer
23,Kathryn Foster,thompsoncharles@carney.info,Lake Scottberg,Corporate
24,George Lopez,caitlin68@chambers-archer.org,Yangfurt,Small Business
25,Jessica Montgomery,wesleysexton@gmail.com,Perryberg,Small Business
26,Tina Cook,ytyler@schmidt-williams.biz,Ericaton,Corporate
27,Christopher Farmer,julia58@mayer.com,West Lauren,Corporate
28,Teresa Henderson,meganware@morris.com,Valenzuelafort,Corporate
29,Natasha Rowe,sheltonraymond@hotmail.com,Lake Catherine,Small Business
30,Brandy Gonzales,carla61@gmail.com,Petersonhaven,Small Business
31,John Davis,victor13@hotmail.com,Weissland,Consumer
32,Michael Scott,toddhernandez@gmail.com,Clarkchester,Consumer
33,Lisa Gutierrez,lstewart@hotmail.com,Robertburgh,Small Business
34,Julia Randall,jeremiahhull@gmail.com,Port Ruben,Corporate
35,Robert Whitney,jeffreyblair@gmail.com,Jonesfurt,Corporate
36,Heather Ayala,rperry@baker.com,Dianaview,Consumer
37,Mary Morris,hoodlaura@smith.com,West Williammouth,Small Business
38,Wendy Rogers,garciaashley@hotmail.com,Lake Karenhaven,Consumer
39,Brian Miller,michellecortez@yahoo.com,West Lisahaven,Consumer
40,Dwayne Wise,carmen61@velasquez.com,North Christianburgh,Home Office
41,Jessica Mccoy,terridoyle@mcfarland-burch.org,South Melvinchester,Home Office
42,Meredith Ortiz,billydunlap@fernandez.info,Phillipmouth,Home Office
43,Kenneth Perez,gallegoscrystal@cooper-alexander.info,Rodriguezview,Corporate
44,Heather Wood,jhobbs@yahoo.com,Millerfort,Small Business
45,Dr. Ashley West DDS,cliffordbeasley@reilly.net,Port Michael,Small Business
46,Jamie Cuevas,jacksonrhonda@smith.com,Walkerview,Small Business
47,Patricia Harris,wigginsnancy@yahoo.com,Elizabethbury,Small Business
48,Tina Holt,connorhenry@moore.com,West Maryland,Home Office
49,Elizabeth Gould,mbentley@morales.info,Lake Amber,Corporate
50,James Colon,vbrown@hotmail.com,North Mary,Corporate
51,Ryan Miller,lisakirby@hotmail.com,Davidfurt,Home Office
52,Derek Jones,adam78@mcdonald-collins.com,Lake Stephanie,Corporate
53,Kelly Jensen,jmedina@saunders.org,North Bethany,Home Office
54,Christopher Chung,damon16@johnston.com,Deborahton,Small Business
55,Robin Hood,mitchelljames@bauer.org,Johnsonfort,Home Office
56,Charles Potter,anthonymorgan@walker-bell.com,Chapmanchester,Small Business
57,Jerome Fernandez,chris04@hotmail.com,Curtiston,Small Business
58,Meghan Miller,carterpatricia@hotmail.com,North Adam,Consumer
59,Ashley James,james51@duncan.biz,East Georgefurt,Home Office
60,Beth Martinez,simpsongeorge@stein-allen.com,North Dawnborough,Consumer
61,Raymond Dixon,camposwilliam@yahoo.com,Jonesland,Home Office
62,Mrs. Lauren Weeks DVM,zhiggins@hotmail.com,Johnsonfurt,Home Office
63,Jody Johnson,orivera@white.com,Lake Albertshire,Consumer
64,Michael Mann,carteranthony@hotmail.com,South Jeanview,Consumer
65,Sandy Watson,courtney83@burton.com,Garciatown,Home Office
66,Tracy Hodge,chasetamara@washington.org,Julietown,Corporate
67,Raymond Thompson,matthewwalker@hotmail.com,Brownside,Small Business
68,Paul Andersen,christopher76@orr-tucker.biz,New Melissa,Consumer
69,Jesus Meadows,guzmansierra@yahoo.com,North Sierra,Small Business
70,Jamie Johnson,bensoncheryl@munoz.net,West Derrick,Corporate
71,John Thomas,maryporter@floyd.com,South Derrick,Corporate
72,Patricia Carney,bowmanjennifer@gmail.com,Davismouth,Corporate
73,Michael Allen,igutierrez@hotmail.com,Lake Susanland,Consumer
74,Rachel Lopez,jennifer79@hotmail.com,Port Brandon,Corporate
75,Deanna Hernandez,tyler92@yahoo.com,Davisburgh,Consumer
76,Kaitlyn Ray,bsullivan@brewer.org,East Eric,Corporate
77,James Gomez,stephenlewis@yahoo.com,South Roberthaven,Small Business
78,Natalie Hernandez,gutierrezcarolyn@maldonado-henson.com,Williamsville,Small Business
79,Lori Matthews,kevin01@russell-lewis.biz,North Candicestad,Home Office
80,Maria Ortiz,justin30@walsh.net,Vargasland,Small Business
81,Shari Mora,nathan95@hotmail.com,Mendozaport,Home Office
82,Jennifer Perez,taylor72@johnson.com,West Samanthamouth,Small Business
83,Lisa Greene,peter99@esparza-barber.com,Port David,Consumer
84,Justin Chung,jmendoza@walker-jones.info,Port David,Small Business
85,Julie Martin,douglas44@yahoo.com,North Robertfort,Home Office
86,Ashley Freeman,rgomez@price.com,New Coreyport,Home Office
87,Theresa Allen,grace66@gmail.com,South Stephanieborough,Corporate
88,Laura White,millersydney@alexander.com,Lake Katiehaven,Consumer
89,Dawn Mack,sara68@yahoo.com,Davilashire,Small Business
90,Wayne Murray,mollylandry@yahoo.com,North Greg,Corporate
91,Bobby Whitehead,cranekara@mendez.com,Lake Marvin,Small Business
92,Juan Hill,cynthiabaker@hotmail.com,Johnberg,Small Business
93,Michael Wright,oyang@hotmail.com,Austinberg,Corporate
94,Emily Morton,mturner@yahoo.com,Elliottton,Corporate
95,Bethany Campbell,allisonkelly@powell.org,Meganbury,Corporate
96,Kenneth Proctor,angela83@hotmail.com,New Vincent,Corporate
97,Timothy Moss DVM,yrussell@stanley-jordan.org,Neilburgh,Corporate
98,Madison Waters,jamesmartin@gmail.com,Castilloville,Small Business
99,Christopher Henry,maria70@yahoo.com,East Katie,Corporate
100,Mark Finley,msnyder@gmail.com,Bobbymouth,Consumer
101,Theodore Johnson,shirley04@alvarez.com,Davidburgh,Home Office
102,Kathy Wade,isabellarodriguez@taylor-gonzales.com,Port Katherine,Corporate
103,Carlos Ramirez,morriswilliam@bryant.com,South Jason,Corporate
104,Sheila Frank,hernandezashley@clayton.biz,East Ashleyshire,Small Business
105,Heather Chen,watsontyler@yahoo.com,Coryside,Corporate
106,Angela Martinez,douglas66@jones.net,Odomborough,Corporate
107,Stephanie Fields,mjames@reed.com,Andrewfurt,Corporate
108,Diana Johnson,martintonya@gmail.com,South Amandaville,Small Business
109,Zachary Jennings,mary94@levy-briggs.info,Rachelborough,Corporate
110,Michelle Wood,kimberlyflores@yahoo.com,West Allison,Home Office
111,Travis Weaver PhD,travispowers@gmail.com,South Laurie,Small Business
112,Edward Wilson,maddoxsergio@gmail.com,North Joann,Home Office
113,Bailey Grant,bradylee@gmail.com,East Benjaminport,Small Business
114,Earl Grant,chogan@smith.net,Hamiltonshire,Corporate
115,Brenda Hansen,timothywalker@gmail.com,Thorntonberg,Home Office
116,Kyle Schultz,qjordan@yahoo.com,Christianville,Small Business
117,Jennifer Clark,wjordan@gmail.com,Hicksfurt,Consumer
118,Allison Davis,robertprice@yahoo.com,Loriland,Corporate
119,Kelly Williams,alawrence@hotmail.com,Davisland,Small Business
120,James Williams,amanda96@gmail.com,North Adam,Consumer
